 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Categoria CID-10: A95   Febre amarela
Período:1996-2018
"353760 Peruíbe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"353780 Piedade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"353870 Piracicaba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"353880 Piraju";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;6
"354330 Ribeirão Pires";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"354340 Ribeirão Preto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"354430 Roseira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"354780 Santo André";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"354870 São Bernardo do Campo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"354910 São João da Boa Vista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"355030 São Paulo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;13;17
"355330 Tambaú";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"355495 Tuiuti";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"355540 Ubatuba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"355650 Várzea Paulista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"410150 Arapongas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"410580 Colombo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"410690 Curitiba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"411325 Laranjal";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"411520 Maringá";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"420590 Gaspar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"431235 Montauri";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"431750 Santo Ângelo";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"432145 Teutônia";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"432270 Vera Cruz";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2
"510350 Diamantino";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510558 Marcelândia";-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"520060 Alto Paraíso de Goiás";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"520090 Amorinópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"520140 Aparecida de Goiânia";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"520396 Buritinópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"520540 Ceres";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"520640 Crixás";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"520725 Doverlândia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"520860 Goianésia";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"520870 Goiânia";-;-;-;2;-;-;-;-;1;2;-;-;-;-;-;1;1;-;7
"520910 Goiatuba";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"521000 Inhumas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"521090 Itapaci";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"521190 Jataí";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"521220 Jussara";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
